market,name,code,scode
KOSDAQ,한국제14호스팩,KR7477530000,477530
KOSDAQ,한국제15호스팩,KR7479880007,479880
KOSPI,한국제지,KR7027970003,027970
KOSPI,한국종합기술,KR7023350002,023350
KOSPI,한국주강,KR7025890005,025890
KOSPI,한국주철관,KR7000970004,000970
KOSPI,한국철강,KR7104700000,104700
KOSDAQ,한국첨단소재,KR7062970009,062970
KOSPI,한국카본,KR7017960006,017960
KOSDAQ,한국캐피탈,KR7023760002,023760
KOSDAQ,한국컴퓨터,KR7054040001,054040
KOSPI,한국콜마,KR7161890009,161890
KOSDAQ,한국큐빅,KR7021650007,021650
KOSPI,한국타이어앤테크놀로지,KR7161390000,161390
KOSPI,한국토지신탁,KR7034830000,034830
KOSPI,한국ANKOR유전,KR7152550000,152550
KOSPI,한국패러랠,KR7168490001,168490
KOSPI,한국금융지주우,KR7071051007,071055
KOSPI,한국금융지주,KR7071050009,071050
KOSPI,한국특강,KR7007280001,007280
KOSDAQ,한국파마,KR7032300006,032300
KOSDAQ,한국팩키지,KR7037230000,037230
KONEX,한국피아이엠,KR7448900001,448900
KOSPI,한국항공우주,KR7047810007,047810
KOSPI,한국화장품,KR7123690000,123690
KOSPI,한국화장품제조,KR7003350006,003350
KOSDAQ,한글과컴퓨터,KR7030520001,030520
KOSDAQ,한네트,KR7052600004,052600
KOSPI,한농화성,KR7011500006,011500
KOSPI,한독,KR7002390003,002390
KOSDAQ,한독크린텍,KR7256150004,256150
KOSDAQ,한라IMS,KR7092460005,092460
KOSPI,한미글로벌,KR7053690004,053690
KOSPI,한미반도체,KR7042700005,042700
KOSPI,한미사이언스,KR7008930000,008930
KOSPI,한미약품,KR7128940004,128940
KOSDAQ,한빛레이저,KR7452190002,452190
KOSDAQ,한빛소프트,KR7047080007,047080
KOSPI,한샘,KR7009240003,009240
KOSDAQ,한선엔지니어링,KR7452280001,452280
KOSPI,한섬,KR7020000006,020000
KOSPI,한성기업,KR7003680006,003680
KOSDAQ,한성크린텍,KR7066980004,066980
KOSPI,한세실업,KR7105630008,105630
KOSPI,한세엠케이,KR7069640001,069640
KOSPI,한세예스24홀딩스,KR7016450009,016450
KOSPI,한솔PNS,KR7010420008,010420
KOSPI,한솔로지스틱스,KR7009180001,009180
KOSDAQ,한솔아이원스,KR7114810005,114810
KOSDAQ,한솔인티큐브,KR7070590005,070590
KOSPI,한솔제지,KR7213500002,213500
KOSPI,한솔케미칼,KR7014680003,014680
KOSPI,한솔테크닉스,KR7004710000,004710
KOSPI,한솔홀딩스,KR7004150009,004150
KOSPI,한솔홈데코,KR7025750001,025750
KOSDAQ,한송네오텍,KR7226440006,226440
KOSDAQ,한스바이오메드,KR7042520007,042520
KOSPI,한신공영,KR7004960001,004960
KOSPI,한신기계,KR7011700002,011700
KOSDAQ,한싹,KR7430690008,430690
KOSDAQ,한양디지텍,KR7078350006,078350
KOSDAQ,한양이엔지,KR7045100005,045100
KOSPI,한양증권우,KR7001751007,001755
KOSPI,한양증권,KR7001750009,001750
KOSPI,한온시스템,KR7018880005,018880
KOSPI,한올바이오파마,KR7009420001,009420
KOSDAQ,한울반도체,KR7320000003,320000
KOSDAQ,한울BnC,KR7214870008,214870
KOSDAQ,한울소재과학,KR7091440008,091440
KOSPI,한익스프레스,KR7014130009,014130
KOSDAQ,한일단조,KR7024740003,024740
